City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Pangkalanbuun,ID,72.12,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
306,Narrabri,AU,62.53,light rain,-30.3167,149.7833,Crossroads Hotel
307,Katsuura,JP,64.42,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
308,Beziers,FR,65.34,clear sky,43.3476,3.219,Hôtel Terminus
309,Sur,OM,83.12,clear sky,22.5667,59.5289,Sur Plaza Hotel
310,Amahai,ID,80.28,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
312,Seydi,TM,73.36,clear sky,39.4816,62.9137,Seydi oteli
313,San Jose,US,80.49,few clouds,37.3394,-121.895,The Westin San Jose
316,Sanming,CN,70.59,scattered clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
318,Haapiti,PF,81.72,moderate rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
319,Pital,CO,73.72,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
326,Norton,ZW,67.28,scattered clouds,-17.8833,30.7,Twinlakes Guest House
327,Kavaratti,IN,80.67,overcast clouds,10.5669,72.642,Green leaf
329,Newark,US,77.95,broken clouds,40.7357,-74.1724,"Robert Treat Hotel, BW Premier Collection"
331,Colmenar Viejo,ES,71.89,few clouds,40.6591,-3.7676,Profesora de Piano Carmen López
334,Palmer,US,67.55,broken clouds,42.1584,-72.3287,Wedgewood Motel
336,Vao,NC,73.6,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
337,Hobyo,SO,76.23,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
340,Puerto Madero,MX,80.15,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
342,Atherton,GB,60.35,scattered clouds,53.5237,-2.4935,The Mercury Motel
343,Ceres,US,81.81,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
344,Salalah,OM,76.26,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
345,Mae Hong Son,TH,73.54,mist,19.3003,97.9685,Baiyoke Chalet Hotel
349,Florianopolis,BR,65.43,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
351,Juba,SS,72.36,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
352,Benton Harbor,US,83.05,clear sky,42.1167,-86.4542,The Boulevard Inn & Bistro
353,Kilindoni,TZ,75.06,scattered clouds,-7.9139,39.6668,Bustani B&B
354,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
355,Fortuna,US,70.09,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
356,Jiazi,CN,76.89,scattered clouds,22.8779,116.067,Hotel Jin Hao
357,Daru,PG,80.73,overcast clouds,-9.0763,143.2092,Daru Lodge
361,Martuni,AM,60.71,clear sky,40.1377,45.3045,Siro Kenats
362,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
