City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Faanui,PF,-16.4833,-151.75,78.26,75,7,21.56,light rain
232,Jurado,CO,7.1053,-77.7641,82.15,73,52,7.9,light rain
233,Bajil,YE,15.0584,43.2851,90.39,58,12,7.11,few clouds
234,Qasigiannguit,GL,68.8193,-51.1922,37.65,74,86,4.61,overcast clouds
235,Buenos Aires,AR,-34.6132,-58.3772,62.01,58,75,12.66,broken clouds
236,Marataizes,BR,-21.0433,-40.8244,73.96,77,100,10.4,overcast clouds
237,Dingle,PH,10.9995,122.6711,74.97,91,100,2.19,overcast clouds
238,Zhuhai,CN,22.2769,113.5678,82.18,78,40,10.36,scattered clouds
239,Te Anau,NZ,-45.4167,167.7167,41.43,93,87,1.45,overcast clouds
240,Bac Lieu,VN,9.285,105.7244,78.35,87,100,10.96,overcast clouds
241,Vavoua,CI,7.3819,-6.4778,72.37,97,66,3.33,light rain
242,Taltal,CL,-25.4,-70.4833,61.07,59,22,5.73,few clouds
243,Buala,SB,-8.145,159.5921,76.17,85,100,3.8,overcast clouds
244,Painesville,US,41.7245,-81.2457,88.48,86,40,5.75,scattered clouds
245,Lebu,CL,-37.6167,-73.65,51.26,69,90,8.46,overcast clouds
246,Makokou,GA,0.5738,12.8642,69.44,97,58,2.39,broken clouds
247,Hanmer Springs,NZ,-42.5167,172.8167,43.29,96,57,0.89,broken clouds
248,Virginia Beach,US,36.8529,-75.978,89.65,54,40,9.22,scattered clouds
249,Carnarvon,AU,-24.8667,113.6333,64.0,77,0,19.62,clear sky
250,Mandalgovi,MN,45.7625,106.2708,35.08,48,0,23.44,clear sky
251,Naraina,IN,26.7833,75.2,80.82,69,100,4.32,overcast clouds
252,Bagdarin,RU,54.4333,113.6,31.33,88,68,6.35,broken clouds
253,Sorland,NO,67.667,12.6934,51.66,96,100,23.15,overcast clouds
254,Esperance,AU,-33.8667,121.9,55.24,77,100,17.56,overcast clouds
255,Labuhan,ID,-6.8844,112.2051,77.67,86,100,7.27,overcast clouds
256,Qaqortoq,GL,60.7167,-46.0333,43.86,70,24,5.73,few clouds
257,Mount Gambier,AU,-37.8333,140.7667,51.71,100,100,6.91,overcast clouds
258,Berbera,SO,10.4396,45.0143,91.13,55,5,7.38,clear sky
259,Rocha,UY,-34.4833,-54.3333,55.6,56,14,9.82,few clouds
260,Fortuna,US,40.5982,-124.1573,68.92,75,100,4.81,overcast clouds
261,Jumla,NP,29.2747,82.1838,59.58,90,83,1.5,broken clouds
262,Vostok,RU,46.4856,135.8833,37.53,72,1,5.46,clear sky
263,Mahon,ES,39.8885,4.2658,72.16,64,0,3.44,clear sky
264,Tasiilaq,GL,65.6145,-37.6368,37.56,94,62,4.23,broken clouds
265,Hualmay,PE,-11.0964,-77.6139,65.64,72,100,12.08,overcast clouds
266,Japura,ID,-0.3167,102.35,72.23,97,39,2.59,light rain
267,Lagoa,PT,39.05,-27.9833,73.94,81,49,11.05,scattered clouds
268,Kaiserslautern,DE,49.45,7.75,50.83,85,0,0.0,clear sky
269,Dukat,RU,62.55,155.55,24.58,97,100,3.71,overcast clouds
270,Necochea,AR,-38.5473,-58.7368,57.58,50,66,9.91,broken clouds
271,La Tuque,CA,47.4334,-72.7824,53.85,82,100,8.05,overcast clouds
272,Ubinskoye,RU,55.3068,79.6802,60.3,67,100,8.08,overcast clouds
273,Avera,US,33.194,-82.5271,94.55,31,0,5.06,clear sky
274,Hami,CN,42.8,93.45,67.68,14,0,4.97,clear sky
275,Haines Junction,CA,60.7522,-137.5108,57.15,58,100,11.5,overcast clouds
276,Broome,US,42.2506,-75.833,82.18,54,0,10.36,clear sky
277,Northam,GB,51.0333,-4.2167,58.39,85,99,7.58,overcast clouds
278,Porto Belo,BR,-27.1578,-48.5531,68.79,76,100,2.91,heavy intensity rain
279,Tezu,IN,27.9167,96.1667,74.01,98,100,2.95,overcast clouds
280,Vila Velha,BR,-20.3297,-40.2925,80.55,83,0,14.97,clear sky
281,Muravlenko,RU,63.7898,74.523,49.75,81,100,19.89,overcast clouds
282,Rongcheng,CN,30.634,117.8517,65.91,78,100,1.23,overcast clouds
283,Kolosovka,RU,56.4678,73.611,58.15,55,16,7.74,few clouds
284,Yinchuan,CN,38.4681,106.2731,62.11,25,0,9.06,clear sky
285,Mosquera,CO,4.7059,-74.2302,60.89,72,40,6.91,light intensity drizzle
286,Cortes,ES,41.9395,-1.4396,73.45,31,0,8.08,clear sky
287,Namanga,KE,-2.5433,36.7905,70.83,49,71,9.08,broken clouds
288,Basco,PH,20.4487,121.9702,80.76,76,100,21.54,overcast clouds
289,Kincardine,GB,56.0667,-3.7167,60.58,80,100,10.83,overcast clouds
290,Barras,BR,-4.2444,-42.2944,103.26,15,6,4.9,clear sky
291,Port Blair,IN,11.6667,92.75,80.37,84,100,8.59,overcast clouds
